OBJECTID,Class_name,Shape_Length,Shape_Area,Year
187,disk,55.00464231,22.56178615,2016
224,disk,1.714432055,0.20191884,2016
801,disk,25.02482325,9.896303345,2016
842,disk,1.169980389,0.08321326,2016
1131,disk,13.39590424,1.482590875,2016
1215,disk,1.558322412,0.09620949,2016
1283,disk,26.11190348,5.624934385,2016
1284,disk,1.793653853,0.12207267,2016
1785,disk,2.218565861,0.171908046,2016
1821,disk,2.763344686,0.504783261,2016
1873,disk,1.488455082,0.14936948,2016
1874,disk,2.58222822,0.386745555,2016
1875,disk,42.44908295,12.38390983,2016
3129,disk,1.404040228,0.11117241,2016
3145,disk,3.33378141,0.326751665,2016
3243,disk,4.220431319,0.643894505,2016
3261,disk,1.729339618,0.206667855,2016
3262,disk,13.58328553,5.199788615,2016
3340,disk,62.37197969,37.8333268,2016
3360,disk,1.333395853,0.09619102,2016
3361,disk,3.354697574,0.52926267,2016
3362,disk,24.88495448,9.877207564,2016
4648,disk,11.71802108,0.746597096,2016
6456,disk,3.578211747,0.29537557,2016
6457,disk,1.636209166,0.094120905,2016
6458,disk,1.666104933,0.16642837,2016
6459,disk,2.563573591,0.32335503,2016
6460,disk,35.79192764,11.18950553,2016
8002,disk,2.445117035,0.19645394,2016
8007,disk,29.1681466,8.193756056,2016
8027,disk,3.099033725,0.29198262,2016
8028,disk,20.29376661,6.909928156,2016
8056,disk,1.687767105,0.11460044,2016
9250,disk,1.280501304,0.100242605,2016
9251,disk,8.480596505,1.90860265,2016
9918,disk,10.35533827,0.421197646,2016
10134,disk,1.525290057,0.11460598,2016
10135,disk,6.363816662,0.723015555,2016
10547,disk,1.987756751,0.226470275,2016
10548,disk,4.121638592,0.814422471,2016
10549,disk,36.17898746,18.619311,2016
10603,disk,2.486069755,0.115963895,2016
10790,disk,4.555505325,0.55520895,2016
10808,disk,2.147104373,0.25717111,2016
10809,disk,2.495046525,0.358109295,2016
10810,disk,37.78265021,25.09061763,2016
10995,disk,5.633721047,0.413985116,2016
10999,disk,2.808473439,0.20256456,2016
11000,disk,27.72140487,9.58716582,2016
11476,disk,2.573979619,0.334216505,2016
11477,disk,16.56681038,7.219635686,2016
11565,disk,4.128467792,0.352644389,2016
11566,disk,1.830353571,0.229863215,2016
11567,disk,42.09974102,9.689550532,2016
11569,disk,1.438315902,0.072995655,2016
11646,disk,3.030958255,0.14576547,2016
12196,disk,1.042811826,0.072320395,2016
12197,disk,11.90308737,4.85531572,2016
14556,disk,3.173946079,0.298084009,2016
14565,disk,34.98390937,13.21421612,2016
14709,disk,2.288998969,0.22373967,2016
14710,disk,27.34564452,8.568826384,2016
15370,disk,2.174526114,0.320596725,2016
15371,disk,15.35979388,4.71351081,2016
16201,disk,1.37644272,0.11797307,2016
16202,disk,22.98812455,7.014407012,2016
17670,disk,16.86280541,5.508182581,2016
17701,disk,2.746697641,0.351952505,2016
18216,disk,1.736226822,0.122113295,2016
18217,disk,1.903388255,0.135734925,2016
18313,disk,1.777229191,0.075739195,2016
18314,disk,2.384293153,0.19850559,2016
18421,disk,3.114592583,0.415422445,2016
