Join_Count,TARGET_FID,Class_name,value,Shape_Leng,Shape_Area_1,Block,Plot,Shape_Length,Shape_Area
1,383,disk,3,116.675663247000003,850.670433849000005,5,BR,14.960489221327618,8.851237100296077
1,1174,disk,3,117.240863736999998,859.023451664000049,5,UR,43.981363531085144,32.332549972950105
1,1313,disk,3,115.896561319000000,839.424338111999987,5,BN,16.946508106301344,6.939876155359385
1,1544,disk,3,115.896561319000000,839.424338111999987,5,BN,14.622590925831776,7.901671864660055
1,1965,disk,3,117.647225332000005,864.975287854000044,5,UN,28.389477461129317,19.861354981025183
1,3921,disk,3,117.509625900000003,862.953379467999980,4,BN,9.567301979863846,2.294689559708622
1,4318,disk,3,117.509625900000003,862.953379467999980,4,BN,8.558135991083953,1.858813430804716
1,5159,disk,3,118.075729123000002,870.997821774000045,4,BR,25.373093224236115,16.553783530319567
1,5417,disk,3,117.509625900000003,862.953379467999980,4,BN,11.100902598925410,4.093442614405062
1,5606,disk,3,117.509625900000003,862.953379467999980,4,BN,20.333050370076354,8.512834199670953
1,5884,disk,3,118.075729123000002,870.997821774000045,4,BR,8.280790291321269,2.738727944651365
1,6853,disk,3,118.075729123000002,870.997821774000045,4,BR,28.527554983930472,24.204354259201075
2,6878,disk,3,117.150347080000003,857.750615261000007,4,UR,46.330219620082651,17.371481160687576
1,6926,disk,3,116.615674428999995,849.853569318000041,4,UN,31.957187530970455,9.898908365468534
1,7231,disk,3,117.485497941999995,860.370436039999959,3,UR,19.075661087008939,8.581890921117376
1,7579,disk,3,118.542711209999993,876.974769819000016,3,BN,15.198442028040191,6.911332229581161
1,9219,disk,3,117.485497941999995,860.370436039999959,3,UR,53.141827243158879,30.375019894976692
1,9303,disk,3,118.542711209999993,876.974769819000016,3,BN,13.195497508369293,6.514865200869855
1,9610,disk,3,117.813887374000004,865.640359780000040,3,BR,16.013744396247379,8.274201789749865
1,9747,disk,3,117.813887374000004,865.640359780000040,3,BR,12.867596413973041,5.925610494988977
1,9824,disk,3,117.813887374000004,865.640359780000040,3,BR,18.091882644442226,4.196362270110910
1,11073,disk,3,116.699115415999998,851.066309539000031,1,BN,14.090538357138147,7.632969560120695
2,11307,disk,3,116.142226871000005,843.042925502999992,1,UR,22.107047571143397,9.012090005897527
1,11499,disk,3,116.699115415999998,851.066309539000031,1,BN,14.046578763204097,7.670380548395102
1,11948,disk,3,116.142226871000005,843.042925502999992,1,UR,27.437793270572413,17.883848882284699
1,12525,disk,3,117.017592433000004,855.585642616999962,1,UN,13.164057984234303,6.757010599951786
1,12578,disk,3,117.017592433000004,855.585642616999962,1,UN,20.715982738784394,9.339653365993371
1,12849,disk,3,116.699115415999998,851.066309539000031,1,BN,23.355859219054015,12.102179901014607
1,13031,disk,3,116.699115415999998,851.066309539000031,1,BN,17.124856197094736,6.650714619664320
1,13049,disk,3,116.699115415999998,851.066309539000031,1,BN,14.045496556885574,6.798038009480964
1,13066,disk,3,116.699115415999998,851.066309539000031,1,BN,18.437145496272407,8.461022884780968
1,13243,disk,3,116.976188316999995,855.094481269999960,1,BR,25.275377729835331,12.268389770604818
1,13426,disk,3,116.976188316999995,855.094481269999960,1,BR,28.432677245530229,15.995770100201748
1,13854,disk,3,116.976188316999995,855.094481269999960,1,BR,14.105383812218133,4.263922576067665
1,13867,disk,3,117.017592433000004,855.585642616999962,1,UN,30.118306794777823,9.555865394187970
1,14783,disk,3,116.908936492999999,854.176917616999958,2,BR,21.538349489544679,8.270056025484074
1,15123,disk,3,116.908936492999999,854.176917616999958,2,BR,23.625103169081285,13.165594604614554
1,15432,disk,3,116.998871911999998,855.198899170999994,2,BN,20.917363580422055,8.682085524494715
1,15752,disk,3,115.523314197999994,833.688739188999989,2,UN,46.691168912799036,14.877796865143086
1,16309,disk,3,116.908936492999999,854.176917616999958,2,BR,14.834039940695185,7.131568150739972
1,16485,disk,3,115.523314197999994,833.688739188999989,2,UN,43.725178418658899,24.480647025378726
1,16827,disk,3,118.096502384000004,871.596055418999981,2,UR,48.093435732576083,22.933624156279667
1,17291,disk,3,115.523314197999994,833.688739188999989,2,UN,25.941285585036525,11.086563730096078
2,17349,disk,3,116.998871911999998,855.198899170999994,2,BN,46.991455375148377,12.823256492094474
