Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Class_name,value,Shape_Length_1,Shape_Area_1,Block,Plot,Shape_Length_12,Shape_Area_12,Block_1,Plot_1,Shape_Length,Shape_Area
1,954,1,954,disk,3,118.209888379158159,873.135866616722865,2,BN,118.209888379158159,873.135866616722865,2,BN,34.817307727316070,5.798794764774710
1,1007,1,1007,disk,3,117.284387841476388,859.326504558799343,2,UN,117.284387841476388,859.326504558799343,2,UN,85.218892213880295,15.250365559603244
1,1151,1,1151,disk,3,118.209888379158159,873.135866616722865,2,BN,118.209888379158159,873.135866616722865,2,BN,46.800918666334354,8.302603103886160
1,1990,1,1990,disk,3,118.209888379158159,873.135866616722865,2,BN,118.209888379158159,873.135866616722865,2,BN,48.299980168411473,9.872803358712114
1,3038,1,3038,disk,3,117.284387841476388,859.326504558799343,2,UN,117.284387841476388,859.326504558799343,2,UN,79.890986578768889,21.321510459740292
1,4373,1,4373,disk,3,118.209888379158159,873.135866616722865,2,BN,118.209888379158159,873.135866616722865,2,BN,56.966508528989010,11.454516388848056
1,5355,1,5355,disk,3,117.284387841476388,859.326504558799343,2,UN,117.284387841476388,859.326504558799343,2,UN,52.050590529259601,10.400079859724952
1,5489,1,5489,disk,3,117.284387841476388,859.326504558799343,2,UN,117.284387841476388,859.326504558799343,2,UN,70.505737316205199,10.132577014665141
1,7372,1,7372,disk,3,118.551253221687404,878.260006280598304,2,BR,118.551253221687404,878.260006280598304,2,BR,30.428636341803337,5.404756553918070
2,7938,2,7938,disk,3,118.209888379158159,873.135866616722865,2,BN,118.209888379158159,873.135866616722865,2,BN,20.865268558057398,2.425363388728375
1,8099,1,8099,disk,3,118.209888379158159,873.135866616722865,2,BN,118.209888379158159,873.135866616722865,2,BN,57.528320403070779,6.681799148528557
1,8786,1,8786,disk,3,118.551253221687404,878.260006280598304,2,BR,118.551253221687404,878.260006280598304,2,BR,22.786450807359024,2.697447870982145
1,8900,1,8900,disk,3,118.551253221687404,878.260006280598304,2,BR,118.551253221687404,878.260006280598304,2,BR,37.096511014624532,7.138609794417567
1,9191,1,9191,disk,3,120.362524810240714,905.426935546405730,2,UR,120.362524810240714,905.426935546405730,2,UR,67.711144840923581,19.864739036271768
1,9694,1,9694,disk,3,118.551253221687404,878.260006280598304,2,BR,118.551253221687404,878.260006280598304,2,BR,31.684168517441954,3.797332645098777
1,9851,1,9851,disk,3,120.362524810240714,905.426935546405730,2,UR,120.362524810240714,905.426935546405730,2,UR,27.350470117179917,2.409488795102050
1,10990,1,10990,disk,3,118.551253221687404,878.260006280598304,2,BR,118.551253221687404,878.260006280598304,2,BR,50.513412886799351,8.415317495425269
1,13237,1,13237,disk,3,118.988713387209941,883.526166848208391,3,BR,118.988713387209941,883.526166848208391,3,BR,50.636107627410382,7.372298505621428
1,15200,1,15200,disk,3,118.988713387209941,883.526166848208391,3,BR,118.988713387209941,883.526166848208391,3,BR,39.733972894410755,8.497263924642933
1,15759,1,15759,disk,3,118.988713387209941,883.526166848208391,3,BR,118.988713387209941,883.526166848208391,3,BR,32.011125843086134,6.994258165207791
1,16197,1,16197,disk,3,118.960401813389964,884.244614680436371,1,UN,118.960401813389964,884.244614680436371,1,UN,45.416145702627617,5.570429804620506
1,17579,1,17579,disk,3,119.651588332722667,894.725863063924294,1,BR,119.651588332722667,894.725863063924294,1,BR,47.835480764809944,8.374648379241586
1,17639,1,17639,disk,3,119.651588332722667,894.725863063924294,1,BR,119.651588332722667,894.725863063924294,1,BR,45.429370586606268,7.097354984149344
1,22699,1,22699,disk,3,118.960401813389964,884.244614680436371,1,UN,118.960401813389964,884.244614680436371,1,UN,48.643729733676125,10.142995420950188
1,23442,1,23442,disk,3,118.960401813389964,884.244614680436371,1,UN,118.960401813389964,884.244614680436371,1,UN,41.237589611205195,9.372680544489889
1,23819,1,23819,disk,3,119.651588332722667,894.725863063924294,1,BR,119.651588332722667,894.725863063924294,1,BR,69.938621104226868,14.909204120298368
1,24206,1,24206,disk,3,118.960401813389964,884.244614680436371,1,UN,118.960401813389964,884.244614680436371,1,UN,27.783504788323718,5.968646105330628
2,25617,2,25617,disk,3,117.980045001724108,869.921960585443117,1,UR,117.980045001724108,869.921960585443117,1,UR,45.161686709159476,9.176130364813716
1,27504,1,27504,disk,3,119.222252320159939,888.274230475994955,1,BN,119.222252320159939,888.274230475994955,1,BN,70.608876112347914,10.912758165506931
1,28390,1,28390,disk,3,119.222252320159939,888.274230475994955,1,BN,119.222252320159939,888.274230475994955,1,BN,65.127200004191593,15.197545958928409
2,28490,2,28490,disk,3,117.980045001724108,869.921960585443117,1,UR,117.980045001724108,869.921960585443117,1,UR,47.572222270961184,7.401347029624570
1,28860,1,28860,disk,3,119.222252320159939,888.274230475994955,1,BN,119.222252320159939,888.274230475994955,1,BN,62.992974376160781,11.005940739273690
1,31804,1,31804,disk,3,119.222252320159939,888.274230475994955,1,BN,119.222252320159939,888.274230475994955,1,BN,55.182184284077259,10.124450395086436
1,31903,1,31903,disk,3,119.222252320159939,888.274230475994955,1,BN,119.222252320159939,888.274230475994955,1,BN,57.578020897975605,7.695882855281720
1,31942,1,31942,disk,3,117.980045001724108,869.921960585443117,1,UR,117.980045001724108,869.921960585443117,1,UR,57.812232354582846,15.572277081244909
1,35856,1,35856,disk,3,119.835104929860279,896.266814365269397,3,UN,119.835104929860279,896.266814365269397,3,UN,55.485536466939649,10.038318050455979
1,38532,1,38532,disk,3,119.550564701587547,892.028334835196119,3,UR,119.550564701587547,892.028334835196119,3,UR,78.409213530974299,27.242063866256281
1,39462,1,39462,disk,3,119.550564701587547,892.028334835196119,3,UR,119.550564701587547,892.028334835196119,3,UR,41.365641777524395,10.308131590243644
1,42348,1,42348,disk,3,117.864519574401214,868.109029511964650,5,BN,117.864519574401214,868.109029511964650,5,BN,47.204572639746566,7.612355034347266
1,42914,1,42914,disk,3,119.058427728570649,885.872033795001016,5,UR,119.058427728570649,885.872033795001016,5,UR,53.978919511054123,8.428256784323580
1,43980,1,43980,disk,3,117.864519574401214,868.109029511964650,5,BN,117.864519574401214,868.109029511964650,5,BN,52.143181078800566,7.379836844482501
1,44917,1,44917,disk,3,119.058427728570649,885.872033795001016,5,UR,119.058427728570649,885.872033795001016,5,UR,97.587806250777021,38.555826705730183
1,45835,1,45835,disk,3,117.864519574401214,868.109029511964650,5,BN,117.864519574401214,868.109029511964650,5,BN,9.890440509384288,0.784475860258780
