OBJECTID,Join_Count,TARGET_FID,Class_name,Shape_Leng,Shape_Area_1,Block,Plot,Shape_Length,Shape_Area,Year
1,1,890,disk,0,0,2,BR,22.44071036,4.249848195,2023
2,1,2052,disk,0,0,2,UR,18.82350414,2.883118595,2023
3,1,2112,disk,0,0,2,BR,20.17546054,3.655710231,2023
4,1,2554,disk,0,0,2,BR,36.67570457,9.798761295,2023
5,1,3244,disk,0,0,2,UR,39.69944743,19.52424794,2023
6,1,3509,disk,0,0,2,BN,24.83333527,8.90673317,2023
7,1,3662,disk,0,0,2,UN,36.98071987,6.897609214,2023
8,2,4075,disk,0,0,2,UR,22.96864312,5.968194335,2023
9,1,4468,disk,0,0,2,UN,51.329563,22.31879713,2023
10,1,4648,disk,0,0,2,BN,20.50502488,8.750916664,2023
11,1,5025,disk,0,0,2,BN,28.26856572,11.36851925,2023
12,1,5093,disk,0,0,2,BN,21.44031293,8.949627964,2023
13,1,5561,disk,0,0,2,UN,65.60618794,15.02120651,2023
14,1,5581,disk,0,0,2,UN,67.07242788,13.38450453,2023
15,1,6371,disk,0,0,3,BR,64.4542868,15.4141039,2023
16,1,7156,disk,0,0,3,BR,49.90583496,13.42809326,2023
17,1,7325,disk,0,0,3,BR,0.984797733,0.03474682,2023
18,1,7902,disk,0,0,1,BN,37.46600551,9.43952262,2023
19,1,7963,disk,0,0,1,BN,73.49974859,12.79341611,2023
20,1,8588,disk,0,0,1,BN,34.41778384,9.137114566,2023
21,2,9158,disk,0,0,1,UR,29.3128755,5.765817805,2023
22,1,9188,disk,0,0,1,BN,40.68712933,7.60892023,2023
23,1,9844,disk,0,0,1,BN,23.59766275,8.837197315,2023
24,1,10309,disk,0,0,1,UR,32.66236304,4.098135801,2023
25,1,10473,disk,0,0,1,UR,45.93898831,9.597860459,2023
26,1,10827,disk,0,0,1,UN,31.18226894,7.15711975,2023
27,1,11668,disk,0,0,1,UN,44.49755354,8.712682587,2023
28,1,12169,disk,0,0,1,UN,39.40056291,8.874020789,2023
29,2,12291,disk,0,0,1,UR,63.91916806,16.49517536,2023
30,1,12632,disk,0,0,1,UN,41.08565206,7.002305141,2023
31,1,13254,disk,0,0,1,BR,50.97022322,14.6412228,2023
32,1,13725,disk,0,0,1,BR,30.35606466,6.647794686,2023
33,1,15106,disk,0,0,3,UN,38.91741045,8.135990602,2023
34,1,15706,disk,0,0,3,UN,29.35299494,4.49746103,2023
35,1,16919,disk,0,0,5,BR,18.77333628,3.042611895,2023
