OBJECTID,Join_Count,TARGET_FID,Class_name,Shape_Leng,Shape_Area_1,Block,Plot,Shape_Length,Shape_Area,Year
1,1,187,disk,116.6756632,850.6704338,5,BR,55.00464231,22.56178615,2016
2,1,224,disk,116.6756632,850.6704338,5,BR,1.714432055,0.20191884,2016
3,1,801,disk,117.2408637,859.0234517,5,UR,25.02482325,9.896303345,2016
4,1,842,disk,117.2408637,859.0234517,5,UR,1.169980389,0.08321326,2016
5,1,1131,disk,117.2408637,859.0234517,5,UR,13.39590424,1.482590875,2016
6,1,1215,disk,117.2408637,859.0234517,5,UR,1.558322412,0.09620949,2016
7,1,1283,disk,117.6472253,864.9752879,5,UN,26.11190348,5.624934385,2016
8,1,1284,disk,117.6472253,864.9752879,5,UN,1.793653853,0.12207267,2016
9,1,1785,disk,117.6472253,864.9752879,5,UN,2.218565861,0.171908046,2016
10,1,1821,disk,117.6472253,864.9752879,5,UN,2.763344686,0.504783261,2016
11,1,1873,disk,117.6472253,864.9752879,5,UN,1.488455082,0.14936948,2016
12,1,1874,disk,117.6472253,864.9752879,5,UN,2.58222822,0.386745555,2016
13,1,1875,disk,117.6472253,864.9752879,5,UN,42.44908295,12.38390983,2016
14,1,3129,disk,117.2408637,859.0234517,5,UR,1.404040228,0.11117241,2016
15,1,3145,disk,117.2408637,859.0234517,5,UR,3.33378141,0.326751665,2016
16,1,3243,disk,117.2408637,859.0234517,5,UR,4.220431319,0.643894505,2016
17,1,3261,disk,115.8965613,839.4243381,5,BN,1.729339618,0.206667855,2016
18,1,3262,disk,115.8965613,839.4243381,5,BN,13.58328553,5.199788615,2016
19,1,3340,disk,117.2408637,859.0234517,5,UR,62.37197969,37.8333268,2016
20,1,3360,disk,115.8965613,839.4243381,5,BN,1.333395853,0.09619102,2016
21,1,3361,disk,115.8965613,839.4243381,5,BN,3.354697574,0.52926267,2016
22,1,3362,disk,115.8965613,839.4243381,5,BN,24.88495448,9.877207564,2016
23,1,4648,disk,115.8965613,839.4243381,5,BN,11.71802108,0.746597096,2016
24,1,6456,disk,117.5096259,862.9533795,4,BN,3.578211747,0.29537557,2016
25,1,6457,disk,117.5096259,862.9533795,4,BN,1.636209166,0.094120905,2016
26,1,6458,disk,117.5096259,862.9533795,4,BN,1.666104933,0.16642837,2016
27,1,6459,disk,117.5096259,862.9533795,4,BN,2.563573591,0.32335503,2016
