Block,Plot,Burned,Rodents,Count,Area
1,BN,B,N,8,9503.317777
2,BN,B,N,9,8607.963871
3,BN,B,N,6,6565.928646
4,BN,B,N,10,9000.662953
5,BN,B,N,11,6418.273791
1,BS,B,S,5,5089.380099
2,BS,B,S,8,5664.291554
3,BS,B,S,5,6776.415354
4,BS,B,S,4,5215.043805
5,BS,B,S,4,3647.389071
1,UN,U,N,6,6352.300346
2,UN,U,N,4,6053.849043
3,UN,U,N,2,3047.344874
4,UN,U,N,3,3078.760801
5,UN,U,N,3,2733.185609
1,US,U,S,3,4156.327081
2,US,U,S,1,1884.955592
3,US,U,S,3,2846.282944
4,US,U,S,3,3424.335992
5,US,U,S,3,5403.539364
