Block,Plot,Burned,Rodents,Emerging,Returning,Total act,Disk Diameter (cm),Mound Diameter (cm),Mound Height (cm),Time,Temp,Recorders,Disk Diameter (m),Disk Area
1,BS,Burned,Rodents present,17,10,27,305,40,9,9:55,,Noelle,3.05,7.306166415
1,BS,Burned,Rodents present,0,0,0,210,135,10,10:09,,Noelle,2.1,3.463605901
1,BS,Burned,Rodents present,8,3,11,245,80,3,10:09,,Noelle,2.45,4.714352476
1,BS,Burned,Rodents present,8,14,22,360,21,2,10:17,,Noelle,3.6,10.1787602
1,BS,Burned,Rodents present,11,12,23,500,87,15,10:21,,Noelle,5,19.63495408
1,BN,Burned,Rodents excluded,6,10,16,290,71,13,10:28,,Noelle,2.9,6.605198554
1,BN,Burned,Rodents excluded,9,8,17,390,68,8,10:32,,Noelle,3.9,11.94590607
1,BN,Burned,Rodents excluded,14,14,28,300,64,12,10:38,,Noelle,3,7.068583471
1,BN,Burned,Rodents excluded,25,24,49,450,110,25,10:44,,Noelle,4.5,15.90431281
1,BN,Burned,Rodents excluded,18,9,27,440,103,21,10:50,,Noelle,4.4,15.20530844
1,BN,Burned,Rodents excluded,32,14,46,380,101,23,10:57,,Noelle,3.8,11.34114948
1,BN,Burned,Rodents excluded,16,8,24,395,93,20,11:01,,Noelle,3.95,12.25417484
1,BN,Burned,Rodents excluded,22,36,58,380,100,17,11:06,,Noelle,3.8,11.34114948
1,US,Unburned,Rodents present,1,1,2,500,153,4,11:12,,Noelle,5,19.63495408
1,US,Unburned,Rodents present,1,1,2,440,62,2,11:20,,Noelle,4.4,15.20530844
1,US,Unburned,Rodents present,0,7,7,383,84,1,11:28,,Noelle,3.83,11.52092712
1,UN,Unburned,Rodents excluded,9,8,17,350,79,16,11:32,,Noelle,3.5,9.621127502
1,UN,Unburned,Rodents excluded,44,25,69,403,107,27,11:36,,Noelle,4.03,12.75557303
1,UN,Unburned,Rodents excluded,9,11,20,410,98,16,11:40,,Noelle,4.1,13.20254313
1,UN,Unburned,Rodents excluded,20,18,38,372,78,19,11:44,,Noelle,3.72,10.86865394
1,UN,Unburned,Rodents excluded,22,27,49,236,34,7,11:48,,Noelle,2.36,4.374353611
1,UN,Unburned,Rodents excluded,38,28,66,251,72,12,11:53,,Noelle,2.51,4.948086969
2,UN,Unburned,Rodents excluded,0,0,0,495,82,15,9:45,,Eve,4.95,19.2442185
2,UN,Unburned,Rodents excluded,0,0,0,572,56,11,10:05,,Eve,5.72,25.69697127
2,UN,Unburned,Rodents excluded,50,13,63,400,58,15,10:10,,Eve,4,12.56637061
2,UN,Unburned,Rodents excluded,55,47,102,460,64,19,10:17,,Eve,4.6,16.61902514
2,BS,Burned,Rodents present,29,10,39,252,45,10,10:24,,Eve,2.52,4.987592497
2,BS,Burned,Rodents present,28,14,42,270,45,9,10:29,,Eve,2.7,5.725552611
2,BS,Burned,Rodents present,64,13,77,167,36,8,10:37,,Eve,1.67,2.190396938
2,BS,Burned,Rodents present,3,6,9,243,53,10,10:42,,Eve,2.43,4.637697615
2,BS,Burned,Rodents present,20,8,28,190,29,1,10:46,,Eve,1.9,2.83528737
2,BS,Burned,Rodents present,55,29,84,381,73,11,10:50,,Eve,3.81,11.40091828
2,BS,Burned,Rodents present,8,5,13,100,23,1,10:53,,Eve,1,0.785398163
2,BS,Burned,Rodents present,22,17,39,200,63,10,10:58,,Eve,2,3.141592654
2,US,Unburned,Rodents present,16,6,22,600,84,10,11:11,,Eve,6,28.27433388
2,BN,Burned,Rodents excluded,19,23,42,272,67,19,11:20,,Eve,2.72,5.810689772
2,BN,Burned,Rodents excluded,0,0,0,290,62,17,11:26,,Eve,2.9,6.605198554
2,BN,Burned,Rodents excluded,9,13,22,124,59,11,11:29,,Eve,1.24,1.207628216
2,BN,Burned,Rodents excluded,13,9,22,184,65,3,11:34,,Eve,1.84,2.659044022
2,BN,Burned,Rodents excluded,60,50,110,460,77,21,11:34,,Ellie,4.6,16.61902514
2,BN,Burned,Rodents excluded,5,17,22,100,64,12,11:38,,Eve,1,0.785398163
2,BN,Burned,Rodents excluded,37,23,60,420,96,26,11:45,,Eve,4.2,13.8544236
2,BN,Burned,Rodents excluded,33,37,70,450,73,17,11:40,,Ellie,4.5,15.90431281
2,BN,Burned,Rodents excluded,36,40,76,440,96,20,11:43,,Ellie,4.4,15.20530844
3,BS,Burned,Rodents present,4,4,8,370,64,6,10:10,,Kaylee,3.7,10.75210086
3,BS,Burned,Rodents present,23,18,41,543,67,13,10:02,,Kaylee,5.43,23.15738631
3,BS,Burned,Rodents present,9,4,13,290,40,3,10:16,,Kaylee,2.9,6.605198554
3,BS,Burned,Rodents present,23,9,32,484,79,11,10:24,,Kaylee,4.84,18.39842322
3,BS,Burned,Rodents present,44,30,74,470,62,13,10:28,,Kaylee,4.7,17.34944543
3,US,Unburned,Rodents present,28,25,53,322,0,0,10:34,,Kaylee,3.22,8.143322317
3,US,Unburned,Rodents present,16,17,33,424,43,4,10:41,,Kaylee,4.24,14.11957402
3,US,Unburned,Rodents present,5,6,11,160,0,0,10:47,,Kaylee,1.6,2.010619298
3,BN,Burned,Rodents excluded,14,19,33,360,50,20,10:54,,Kaylee,3.6,10.1787602
3,BN,Burned,Rodents excluded,29,29,58,364,74,21,10:56,,Kaylee,3.64,10.40621151
3,BN,Burned,Rodents excluded,33,36,69,397,72,20,11:02,,Kaylee,3.97,12.37858191
3,BN,Burned,Rodents excluded,34,41,75,526,95,29,11:07,,Kaylee,5.26,21.73008223
3,BN,Burned,Rodents excluded,29,36,65,283,69,18,11:11,,Kaylee,2.83,6.290175351
