Join_Count,TARGET_FID,Class_name,Classvalue,Block,Plot,Fire,Rodents,Shape_Length,Shape_Area,Year
1,187,disk,4,5,BR,B,R,55.00464231,22.56178615,2016
1,224,mound,5,5,BR,B,R,1.714432055,0.20191884,2016
1,801,disk,4,5,UR,U,R,25.02482325,9.896303345,2016
1,842,mound,5,5,UR,U,R,1.169980389,0.08321326,2016
1,1131,disk,4,5,UR,U,R,13.39590424,1.482590875,2016
1,1215,mound,5,5,UR,U,R,1.558322412,0.09620949,2016
1,1283,disk,4,5,UN,U,N,26.11190348,5.624934385,2016
1,1284,mound,5,5,UN,U,N,1.793653853,0.12207267,2016
1,1785,mound,5,5,UN,U,N,2.218565861,0.171908046,2016
1,1821,mound,5,5,UN,U,N,2.763344686,0.504783261,2016
1,1873,mound,5,5,UN,U,N,1.488455082,0.14936948,2016
1,1874,mound,5,5,UN,U,N,2.58222822,0.386745555,2016
1,1875,disk,4,5,UN,U,N,42.44908295,12.38390983,2016
1,3129,mound,5,5,UR,U,R,1.404040228,0.11117241,2016
1,3145,mound,5,5,UR,U,R,3.33378141,0.326751665,2016
1,3243,mound,5,5,UR,U,R,4.220431319,0.643894505,2016
1,3261,mound,5,5,BN,B,N,1.729339618,0.206667855,2016
1,3262,disk,4,5,BN,B,N,13.58328553,5.199788615,2016
1,3340,disk,4,5,UR,U,R,62.37197969,37.8333268,2016
1,3360,mound,5,5,BN,B,N,1.333395853,0.09619102,2016
1,3361,mound,5,5,BN,B,N,3.354697574,0.52926267,2016
1,3362,disk,4,5,BN,B,N,24.88495448,9.877207564,2016
1,4648,disk,4,5,BN,B,N,11.71802108,0.746597096,2016
1,6456,mound,5,4,BN,B,N,3.578211747,0.29537557,2016
1,6457,mound,5,4,BN,B,N,1.636209166,0.094120905,2016
1,6458,mound,5,4,BN,B,N,1.666104933,0.16642837,2016
1,6459,mound,5,4,BN,B,N,2.563573591,0.32335503,2016
1,6460,disk,4,4,BN,B,N,35.79192764,11.18950553,2016
1,8002,mound,5,4,UN,U,N,2.445117035,0.19645394,2016
1,8007,disk,4,4,UN,U,N,29.1681466,8.193756056,2016
1,8027,mound,5,4,UN,U,N,3.099033725,0.29198262,2016
1,8028,disk,4,4,UN,U,N,20.29376661,6.909928156,2016
1,8056,mound,5,4,UN,U,N,1.687767105,0.11460044,2016
1,9250,mound,5,4,BR,B,R,1.280501304,0.100242605,2016
1,9251,disk,4,4,BR,B,R,8.480596505,1.90860265,2016
1,9918,disk,4,4,BN,B,N,10.35533827,0.421197646,2016
1,10134,mound,5,4,BN,B,N,1.525290057,0.11460598,2016
1,10135,disk,4,4,BN,B,N,6.363816662,0.723015555,2016
1,10547,mound,5,4,BR,B,R,1.987756751,0.226470275,2016
1,10548,mound,5,4,BR,B,R,4.121638592,0.814422471,2016
1,10549,disk,4,4,BR,B,R,36.17898746,18.619311,2016
1,10603,mound,5,4,BR,B,R,2.486069755,0.115963895,2016
1,10790,mound,5,4,BR,B,R,4.555505325,0.55520895,2016
1,10808,mound,5,4,BR,B,R,2.147104373,0.25717111,2016
1,10809,mound,5,4,BR,B,R,2.495046525,0.358109295,2016
1,10810,disk,4,4,BR,B,R,37.78265021,25.09061763,2016
1,10995,mound,5,3,UR,U,R,5.633721047,0.413985116,2016
1,10999,mound,5,3,UR,U,R,2.808473439,0.20256456,2016
1,11000,disk,4,3,UR,U,R,27.72140487,9.58716582,2016
1,11476,mound,5,3,BR,B,R,2.573979619,0.334216505,2016
1,11477,disk,4,3,BR,B,R,16.56681038,7.219635686,2016
1,11565,mound,5,3,BR,B,R,4.128467792,0.352644389,2016
1,11566,mound,5,3,BR,B,R,1.830353571,0.229863215,2016
1,11567,disk,4,3,BR,B,R,42.09974102,9.689550532,2016
1,11569,mound,5,3,BR,B,R,1.438315902,0.072995655,2016
1,11646,disk,4,3,BR,B,R,3.030958255,0.14576547,2016
1,12196,mound,5,3,BN,B,N,1.042811826,0.072320395,2016
1,12197,disk,4,3,BN,B,N,11.90308737,4.85531572,2016
1,14556,mound,5,3,BR,B,R,3.173946079,0.298084009,2016
1,14565,disk,4,3,BR,B,R,34.98390937,13.21421612,2016
1,14709,mound,5,3,BR,B,R,2.288998969,0.22373967,2016
1,14710,disk,4,3,BR,B,R,27.34564452,8.568826384,2016
1,15370,mound,5,3,BN,B,N,2.174526114,0.320596725,2016
1,15371,disk,4,3,BN,B,N,15.35979388,4.71351081,2016
1,16201,mound,5,3,UN,U,N,1.37644272,0.11797307,2016
1,16202,disk,4,3,UN,U,N,22.98812455,7.014407012,2016
1,17670,disk,4,2,BR,B,R,16.86280541,5.508182581,2016
1,17701,mound,5,2,BR,B,R,2.746697641,0.351952505,2016
1,18216,mound,5,2,BR,B,R,1.736226822,0.122113295,2016
1,18217,mound,5,2,BR,B,R,1.903388255,0.135734925,2016
1,18313,mound,5,2,BR,B,R,1.777229191,0.075739195,2016
1,18314,mound,5,2,BR,B,R,2.384293153,0.19850559,2016
1,18421,mound,5,2,BR,B,R,3.114592583,0.415422445,2016
1,18422,disk,4,2,BR,B,R,153.6141436,50.29353658,2016
1,18553,mound,5,2,BR,B,R,2.205861689,0.11525908,2016
1,18620,mound,5,2,BR,B,R,2.075537476,0.25170436,2016
1,18774,mound,5,2,BR,B,R,1.995846993,0.177371105,2016
1,18775,mound,5,2,BR,B,R,2.159595267,0.32875345,2016
1,18857,disk,4,2,BR,B,R,17.82688332,2.903846417,2016
1,18898,mound,5,2,BR,B,R,1.688924585,0.144611235,2016
1,19610,disk,4,2,UN,U,N,37.28354497,11.41725984,2016
1,19738,mound,5,2,UN,U,N,1.670876957,0.113248065,2016
1,19771,mound,5,2,BN,B,N,2.558328174,0.32263914,2016
1,19772,disk,4,2,BN,B,N,25.48412612,9.386038525,2016
1,19912,mound,5,2,UN,U,N,3.143859101,0.193723335,2016
1,19913,mound,5,2,UN,U,N,1.61790221,0.1820998,2016
1,19914,disk,4,2,UN,U,N,32.67584318,10.99521589,2016
1,20383,mound,5,2,BR,B,R,2.498573716,0.40451295,2016
1,20384,disk,4,2,BR,B,R,25.24400511,14.15408758,2016
1,21036,mound,5,1,UR,U,R,7.068333515,0.511668866,2016
1,21037,disk,4,1,UR,U,R,46.0672224,15.39240311,2016
1,21071,mound,5,1,UR,U,R,1.47341172,0.08048081,2016
1,21138,mound,5,1,BN,B,N,2.496117285,0.263942215,2016
1,21145,mound,5,1,BN,B,N,2.462312837,0.27694768,2016
1,21146,disk,4,1,BN,B,N,19.65950082,6.759802156,2016
1,21158,disk,4,1,BN,B,N,2.072466969,0.130945285,2016
1,21737,mound,5,1,UR,U,R,2.778921137,0.43174882,2016
1,21738,disk,4,1,UR,U,R,24.56074273,4.390851359,2016
1,22048,mound,5,1,UR,U,R,2.290280271,0.133028325,2016
1,22049,mound,5,1,UR,U,R,1.679957167,0.14459831,2016
1,22050,disk,4,1,UR,U,R,46.88164612,11.2687891,2016
1,22289,mound,5,1,BN,B,N,3.763583578,0.354699729,2016
1,22290,mound,5,1,BN,B,N,1.927793825,0.167149805,2016
1,22291,disk,4,1,BN,B,N,28.4195982,10.77692412,2016
2,22980,disk,4,1,UR,U,R,30.66249253,8.72646391,2016
1,22991,mound,5,1,UN,U,N,2.511799915,0.169201451,2016
1,22992,mound,5,1,UN,U,N,1.370243547,0.10641232,2016
1,23600,disk,4,1,BR,B,R,31.01486171,10.54366466,2016
1,23788,disk,4,1,UN,U,N,18.96363494,6.14798117,2016
1,23810,mound,5,1,UN,U,N,1.163690254,0.08390884,2016
