Year,Row Labels,Burned,Rodents,1,2,3,4,5
2021,BN,B,N,114.9915081,94.22910209,26.72871639,14.74038021,15.91250168
2021,BR,B,R,15.95937345,97.60874872,26.44457561,41.02297552,13.59113656
2021,UN,U,N,25.05891111,58.73515628,32.84051473,28.14118621,26.96792597
2021,UR,U,R,67.3566884,42.91315851,84.66649553,1.770853131,63.62467864
2009,BN,B,N,53.13699481,36.7661706,31.73540715,26.82966949,18.87989042
2009,BR,B,R,28.03042516,31.79712258,136.8290792,64.58855318,44.40351978
2009,UN,U,N,73.71277105,14.90515041,29.8105002,51.67152039,31.94064047
2009,UR,U,R,39.12667776,88.63129921,71.70197509,,76.51327162
2016,BN,B,N,71.73572467,8.2511148,13.80327331,16.59752583,13.23587263
2016,BR,B,R,27.11566936,85.61092694,97.34255372,58.33081684,38.11841603
2016,UN,U,N,11.45878737,4.391290163,,7.586940199,24.95067422
2016,UR,U,R,42.40417962,48.45799749,34.70408512,4.643738173,44.69519875
2023,BN,B,N,40.21424274,57.25162015,52.32786291,20.63326448,10.29644392
2023,BR,B,R,21.60395231,45.60994882,94.17135943,42.94157342,38.31984362
2023,UN,U,N,59.16758081,127.3257066,6.496871606,27.58244806,21.67242117
2023,UR,U,R,63.9198016,50.79634389,98.84282756,23.65656304,60.65174966
